Murder,Rape,Kidnap,Dacoity/theft,Fraud,Sexual_harassment,Offences_against_state,Blocks,Villages,Clusters,Total_population,Urban_population,Sex_ratio,Overall_literacy,Female_lit,Male_lit,Area_sqkm,Total_crimes
313,106,125,1204,306,652,0,63,916,565,4083315.0,28.09,977.0,64.28,54.31,74.09,19130.0,8433
256,96,38,757,207,524,19,66,1372,568,4170468.0,29.47,1002.0,72.36,63.65,81.15,15152.0,5426
150,273,66,1276,214,1052,32,64,1447,445,5151549.0,25.52,1005.0,71.35,67.82,74.91,10807.0,7682
246,171,64,950,344,1062,18,57,718,378,4889230.0,33.89,1003.0,67.99,60.64,75.4,11391.0,6968
99,260,41,838,253,1207,15,50,927,414,4529009.0,41.01,997.0,74.37,69.62,79.13,8727.0,7214
258,100,53,838,643,1028,31,54,904,308,4046601.0,28.26,984.0,61.13,50.81,71.36,17658.0,8442
199,190,153,1491,271,876,17,46,1044,307,2966082.0,29.07,986.0,69.15,62.3,75.93,13076.0,8034
63,123,33,396,164,606,5,38,1521,397,2699471.0,16.16,1014.0,62.3,52.56,72.25,5837.0,4795
95,252,130,1800,423,643,8,43,2197,332,4288113.0,47.51,1003.0,67.7,60.0,75.48,11161.0,7825
67,142,27,570,150,890,5,34,1366,243,2342868.0,20.93,1016.0,59.49,50.16,69.04,6539.0,5093
179,484,67,1600,424,1189,63,48,871,367,3934782.0,20.55,1004.0,74.32,71.05,77.63,7742.0,8768
0,0,1,8,1,1,0,4,90,8,21089.0,8.02,805.0,59.4,46.39,69.54,6190.0,28
12,18,11,74,0,0,24,7,305,14,147951.0,11.5,914.0,61.9,52.08,70.8,4662.0,191
0,3,0,0,0,0,0,3,26,7,7948.0,11.64,808.0,64.8,59.1,69.39,9129.0,6
14,21,25,80,6,14,6,2,62,6,145538.0,12.57,901.0,69.88,61.62,77.25,5212.0,292
8,9,9,16,0,3,8,4,62,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98
7,9,4,33,2,0,3,3,86,10,53986.0,9.75,919.0,70.38,63.56,76.62,3900.0,81
4,0,0,16,0,1,2,6,131,10,49950.0,12.23,701.0,60.61,48.75,68.54,2172.0,40
